Match_id,Score,Team,Opposite_Team,Innings
28,Sunil Narine    c Stoinis b Mohsin Khan  6 6 1 0 100.00,Kolkata Knight Riders,Lucknow Super Giants,2
28,Angkrish Raghuvanshi    c Rahul b Mohsin Khan  7 6 0 1 116.67,Kolkata Knight Riders,Lucknow Super Giants,2
28,Shreyas Iyer (c)    not out  38 38 6 0 100.00,Kolkata Knight Riders,Lucknow Super Giants,2
29,Rohit Sharma    not out  105 63 11 5 166.67,Mumbai,Chennai Super Kings,2
29,Ishan Kishan (wk)    c Thakur b Matheesha Pathirana  23 15 3 1 153.33,Mumbai,Chennai Super Kings,2
29,Suryakumar Yadav    c Mustafizur b Matheesha Pathirana  0 2 0 0 0.00,Mumbai,Chennai Super Kings,2
29,Tilak Varma    c Thakur b Matheesha Pathirana  31 20 5 0 155.00,Mumbai,Chennai Super Kings,2
29,Hardik Pandya (c)    c Ravindra Jadeja b Tushar Deshpande  2 6 0 0 33.33,Mumbai,Chennai Super Kings,2
29,Tim David    c Rachin Ravindra b Mustafizur  13 5 0 2 260.00,Mumbai,Chennai Super Kings,2
29,Romario Shepherd    b Matheesha Pathirana  1 2 0 0 50.00,Mumbai,Chennai Super Kings,2
29,Mohammad Nabi    not out  4 7 0 0 57.14,Mumbai,Chennai Super Kings,2
30,Virat Kohli    b Markande  42 20 6 2 210.00,Royal Challengers Bengaluru,Sunrisers Hyderabad,2
30,Faf du Plessis (c)    c Klaasen b Cummins  62 28 7 4 221.43,Royal Challengers Bengaluru,Sunrisers Hyderabad,2
30,Will Jacks    run out (Jaydev Unadkat)  7 4 1 0 175.00,Royal Challengers Bengaluru,Sunrisers Hyderabad,2
30,Rajat Patidar    c Nitish Reddy b Markande  9 5 0 1 180.00,Royal Challengers Bengaluru,Sunrisers Hyderabad,2
30,Saurav Chauhan    lbw b Cummins  0 1 0 0 0.00,Royal Challengers Bengaluru,Sunrisers Hyderabad,2
30,Dinesh Karthik (wk)    c Klaasen b T Natarajan  83 35 5 7 237.14,Royal Challengers Bengaluru,Sunrisers Hyderabad,2
30,Mahipal Lomror    b Cummins  19 11 0 2 172.73,Royal Challengers Bengaluru,Sunrisers Hyderabad,2
30,Anuj Rawat    not out  25 14 5 0 178.57,Royal Challengers Bengaluru,Sunrisers Hyderabad,2
30,Vijaykumar Vyshak    not out  1 2 0 0 50.00,Royal Challengers Bengaluru,Sunrisers Hyderabad,2
31,Yashasvi Jaiswal    c Venkatesh Iyer b Vaibhav Arora  19 9 3 1 211.11,Rajasthan Royals,Kolkata Knight Riders,2
31,Jos Buttler    not out  107 60 9 6 178.33,Rajasthan Royals,Kolkata Knight Riders,2
31,Sanju Samson (c & wk)    c Narine b Harshit Rana  12 8 2 0 150.00,Rajasthan Royals,Kolkata Knight Riders,2
31,Riyan Parag    c Russell b Harshit Rana  34 14 4 2 242.86,Rajasthan Royals,Kolkata Knight Riders,2
31,Dhruv Jurel    lbw b Narine  2 4 0 0 50.00,Rajasthan Royals,Kolkata Knight Riders,2
31,Ravichandran Ashwin    c Angkrish Raghuvanshi b Chakaravarthy  8 11 1 0 72.73,Rajasthan Royals,Kolkata Knight Riders,2
31,Shimron Hetmyer    c Shreyas Iyer b Chakaravarthy  0 1 0 0 0.00,Rajasthan Royals,Kolkata Knight Riders,2
31,Rovman Powell    lbw b Narine  26 13 1 3 200.00,Rajasthan Royals,Kolkata Knight Riders,2
31,Trent Boult    run out (Shreyas Iyer/Starc)  0 1 0 0 0.00,Rajasthan Royals,Kolkata Knight Riders,2
31,Avesh Khan    not out  0 0 0 0 0.00,Rajasthan Royals,Kolkata Knight Riders,2
32,Prithvi Shaw    c Spencer Johnson b Warrier  7 6 1 0 116.67,Delhi Capitals,Gujarat Titans,2
32,Jake Fraser-McGurk    c Abhinav Manohar b Spencer Johnson  20 10 2 2 200.00,Delhi Capitals,Gujarat Titans,2
32,Abishek Porel    b Warrier  15 7 2 1 214.29,Delhi Capitals,Gujarat Titans,2
32,Shai Hope    c Mohit Sharma b Rashid Khan  19 10 1 2 190.00,Delhi Capitals,Gujarat Titans,2
32,Rishabh Pant (c & wk)    not out  16 11 1 1 145.45,Delhi Capitals,Gujarat Titans,2
32,Sumit Kumar    not out  9 9 2 0 100.00,Delhi Capitals,Gujarat Titans,2
33,Sam Curran (c)    c Ishan Kishan b Bumrah  6 7 1 0 85.71,Punjab Kings,Mumbai,2
33,Prabhsimran Singh    c Ishan Kishan b Gerald Coetzee  0 1 0 0 0.00,Punjab Kings,Mumbai,2
33,Rilee Rossouw    b Bumrah  1 3 0 0 33.33,Punjab Kings,Mumbai,2
33,Liam Livingstone    c and b Gerald Coetzee  1 2 0 0 50.00,Punjab Kings,Mumbai,2
33,Harpreet Singh Bhatia    c and b Shreyas Gopal  13 15 2 0 86.67,Punjab Kings,Mumbai,2
33,Shashank Singh    c Tilak Varma b Bumrah  41 25 2 3 164.00,Punjab Kings,Mumbai,2
33,Jitesh Sharma (wk)    lbw b Akash Madhwal  9 9 1 0 100.00,Punjab Kings,Mumbai,2
33,Ashutosh Sharma    c Nabi b Gerald Coetzee  61 28 2 7 217.86,Punjab Kings,Mumbai,2
33,Harpreet Brar    c Nabi b Hardik Pandya  21 20 2 1 105.00,Punjab Kings,Mumbai,2
33,Harshal Patel    not out  1 4 0 0 25.00,Punjab Kings,Mumbai,2
33,Kagiso Rabada    run out (Nabi/Ishan Kishan)  8 3 0 1 266.67,Punjab Kings,Mumbai,2
34,Quinton de Kock    c Dhoni b Mustafizur  54 43 5 1 125.58,Lucknow Super Giants,Chennai Super Kings,2
34,KL Rahul (c & wk)    c Ravindra Jadeja b Matheesha Pathirana  82 53 9 3 154.72,Lucknow Super Giants,Chennai Super Kings,2
34,Nicholas Pooran    not out  23 12 3 1 191.67,Lucknow Super Giants,Chennai Super Kings,2
34,Marcus Stoinis    not out  8 7 1 0 114.29,Lucknow Super Giants,Chennai Super Kings,2
35,Prithvi Shaw    c Abdul Samad b Washington Sundar  16 5 4 0 320.00,Delhi Capitals,Sunrisers Hyderabad,2
35,David Warner    c Cummins b Bhuvneshwar  1 3 0 0 33.33,Delhi Capitals,Sunrisers Hyderabad,2
35,Jake Fraser-McGurk    c Klaasen b Markande  65 18 5 7 361.11,Delhi Capitals,Sunrisers Hyderabad,2
35,Abishek Porel    st Klaasen b Markande  42 22 7 1 190.91,Delhi Capitals,Sunrisers Hyderabad,2
35,Tristan Stubbs    c Shahbaz Ahmed b Nitish Reddy  10 11 0 0 90.91,Delhi Capitals,Sunrisers Hyderabad,2
35,Rishabh Pant (c & wk)    c T Natarajan b Nitish Reddy  44 35 5 1 125.71,Delhi Capitals,Sunrisers Hyderabad,2
35,Lalit Yadav    b T Natarajan  7 8 1 0 87.50,Delhi Capitals,Sunrisers Hyderabad,2
35,Axar Patel    c Cummins b T Natarajan  6 8 0 0 75.00,Delhi Capitals,Sunrisers Hyderabad,2
35,Anrich Nortje    b T Natarajan  0 2 0 0 0.00,Delhi Capitals,Sunrisers Hyderabad,2
35,Kuldeep Yadav    lbw b T Natarajan  0 1 0 0 0.00,Delhi Capitals,Sunrisers Hyderabad,2
35,Mukesh Kumar    not out  0 2 0 0 0.00,Delhi Capitals,Sunrisers Hyderabad,2
36,Virat Kohli    c and b Harshit Rana  18 7 1 2 257.14,Royal Challengers Bengaluru,Kolkata Knight Riders,2
36,Faf du Plessis (c)    c Venkatesh Iyer b Chakaravarthy  7 7 1 0 100.00,Royal Challengers Bengaluru,Kolkata Knight Riders,2
36,Will Jacks    c Angkrish Raghuvanshi b Russell  55 32 4 5 171.88,Royal Challengers Bengaluru,Kolkata Knight Riders,2
36,Rajat Patidar    c Harshit Rana b Russell  52 23 3 5 226.09,Royal Challengers Bengaluru,Kolkata Knight Riders,2
36,Cameron Green    c Ramandeep Singh b Narine  6 4 0 1 150.00,Royal Challengers Bengaluru,Kolkata Knight Riders,2
36,Suyash Prabhudessai    c Angkrish Raghuvanshi b Harshit Rana  24 18 3 0 133.33,Royal Challengers Bengaluru,Kolkata Knight Riders,2
36,Mahipal Lomror    c and b Narine  4 3 1 0 133.33,Royal Challengers Bengaluru,Kolkata Knight Riders,2
36,Dinesh Karthik (wk)    c Salt b Russell  25 18 3 1 138.89,Royal Challengers Bengaluru,Kolkata Knight Riders,2
36,Karn Sharma    c and b Starc  20 7 0 3 285.71,Royal Challengers Bengaluru,Kolkata Knight Riders,2
36,Mohammed Siraj    not out  0 0 0 0 0.00,Royal Challengers Bengaluru,Kolkata Knight Riders,2
36,Lockie Ferguson    run out (Ramandeep Singh /Salt)  1 1 0 0 100.00,Royal Challengers Bengaluru,Kolkata Knight Riders,2
37,Wriddhiman Saha (wk)    c Ashutosh Sharma b Arshdeep Singh  13 11 1 0 118.18,Gujarat Titans,Punjab Kings,2
37,Shubman Gill (c)    c Rabada b Livingstone  35 29 5 0 120.69,Gujarat Titans,Punjab Kings,2
37,Sai Sudharsan    b Sam Curran  31 34 3 0 91.18,Gujarat Titans,Punjab Kings,2
37,David Miller    b Livingstone  4 6 0 0 66.67,Gujarat Titans,Punjab Kings,2
37,Azmatullah Omarzai    c Jitesh Sharma b Harshal Patel  13 10 0 1 130.00,Gujarat Titans,Punjab Kings,2
37,Rahul Tewatia    not out  36 18 7 0 200.00,Gujarat Titans,Punjab Kings,2
37,Shahrukh Khan    b Harshal Patel  8 4 0 1 200.00,Gujarat Titans,Punjab Kings,2
37,Rashid Khan    c Rossouw b Harshal Patel  3 3 0 0 100.00,Gujarat Titans,Punjab Kings,2
37,Ravisrinivasan Sai Kishore    not out  0 0 0 0 0.00,Gujarat Titans,Punjab Kings,2
38,Yashasvi Jaiswal    not out  104 60 9 7 173.33,Rajasthan Royals,Mumbai,2
38,Jos Buttler    b Chawla  35 25 6 0 140.00,Rajasthan Royals,Mumbai,2
38,Sanju Samson (c & wk)    not out  38 28 2 2 135.71,Rajasthan Royals,Mumbai,2
39,Quinton de Kock    b D Chahar  0 3 0 0 0.00,Lucknow Super Giants,Chennai Super Kings,2
39,KL Rahul (c & wk)    c Ruturaj Gaikwad b Mustafizur  16 14 1 1 114.29,Lucknow Super Giants,Chennai Super Kings,2
39,Marcus Stoinis    not out  124 63 13 6 196.83,Lucknow Super Giants,Chennai Super Kings,2
39,Devdutt Padikkal    b Matheesha Pathirana  13 19 0 0 68.42,Lucknow Super Giants,Chennai Super Kings,2
39,Nicholas Pooran    c Thakur b Matheesha Pathirana  34 15 3 2 226.67,Lucknow Super Giants,Chennai Super Kings,2
39,Deepak Hooda    not out  17 6 2 1 283.33,Lucknow Super Giants,Chennai Super Kings,2
40,Wriddhiman Saha (wk)    c Axar b Kuldeep Yadav  39 25 5 1 156.00,Gujarat Titans,Delhi Capitals,2
40,Shubman Gill (c)    c Axar b Nortje  6 5 1 0 120.00,Gujarat Titans,Delhi Capitals,2
40,Sai Sudharsan    c Axar b Rasikh Salam  65 39 7 2 166.67,Gujarat Titans,Delhi Capitals,2
40,Azmatullah Omarzai    c Jake Fraser-McGurk b Axar  1 2 0 0 50.00,Gujarat Titans,Delhi Capitals,2
40,David Miller    c Rasikh Salam b Mukesh Kumar  55 23 6 3 239.13,Gujarat Titans,Delhi Capitals,2
40,Shahrukh Khan    c Pant b Rasikh Salam  8 5 0 1 160.00,Gujarat Titans,Delhi Capitals,2
40,Rahul Tewatia    c Pant b Kuldeep Yadav  4 5 0 0 80.00,Gujarat Titans,Delhi Capitals,2
40,Rashid Khan    not out  21 11 3 1 190.91,Gujarat Titans,Delhi Capitals,2
40,Ravisrinivasan Sai Kishore    b Rasikh Salam  13 6 0 2 216.67,Gujarat Titans,Delhi Capitals,2
40,Mohit Sharma    not out  0 0 0 0 0.00,Gujarat Titans,Delhi Capitals,2
41,Abhishek Sharma    c Karthik b Yash Dayal  31 13 3 2 238.46,Sunrisers Hyderabad,Royal Challengers Bengaluru,2
41,Travis Head    c Karn Sharma b Will Jacks  1 3 0 0 33.33,Sunrisers Hyderabad,Royal Challengers Bengaluru,2
41,Aiden Markram    lbw b Swapnil Singh  7 8 1 0 87.50,Sunrisers Hyderabad,Royal Challengers Bengaluru,2
41,Nitish Reddy    b Karn Sharma  13 13 0 1 100.00,Sunrisers Hyderabad,Royal Challengers Bengaluru,2
41,Heinrich Klaasen (wk)    c Green b Swapnil Singh  7 3 0 1 233.33,Sunrisers Hyderabad,Royal Challengers Bengaluru,2
