Match_id,Bowling,Team,Opposite_Team,Innings
18,Tushar Deshpande   2 0 20 0 0 0 10.00,Chennai Super Kings,Sunrisers Hyderabad,2
18,Ravindra Jadeja   4 0 30 0 0 0 7.50,Chennai Super Kings,Sunrisers Hyderabad,2
18,Moeen Ali   3 0 23 2 0 1 7.70,Chennai Super Kings,Sunrisers Hyderabad,2
18,Rachin Ravindra   1 0 3 0 0 0 3.00,Chennai Super Kings,Sunrisers Hyderabad,2
19,Reece Topley   4 0 27 2 0 1 6.80,Royal Challengers Bengaluru,Rajasthan Royals,2
19,Yash Dayal   4 0 37 1 0 0 9.20,Royal Challengers Bengaluru,Rajasthan Royals,2
19,Mohammed Siraj   4 0 35 1 0 1 8.80,Royal Challengers Bengaluru,Rajasthan Royals,2
19,Mayank Dagar   2 0 34 0 0 0 17.00,Royal Challengers Bengaluru,Rajasthan Royals,2
19,Cameron Green   3.1 0 27 0 0 1 8.50,Royal Challengers Bengaluru,Rajasthan Royals,2
19,Himanshu Sharma   2 0 29 0 0 0 14.50,Royal Challengers Bengaluru,Rajasthan Royals,2
20,Gerald Coetzee   4 0 34 4 0 0 8.50,Mumbai,Delhi Capitals,2
20,Jasprit Bumrah   4 0 22 2 0 0 5.50,Mumbai,Delhi Capitals,2
20,Akash Madhwal   4 0 45 0 1 0 11.20,Mumbai,Delhi Capitals,2
20,Romario Shepherd   4 0 54 1 0 1 13.50,Mumbai,Delhi Capitals,2
20,Mohammad Nabi   2 0 17 0 0 0 8.50,Mumbai,Delhi Capitals,2
20,Piyush Chawla   2 0 32 0 0 0 16.00,Mumbai,Delhi Capitals,2
21,Manimaran Siddharth   4 0 29 0 3 2 7.20,Lucknow Super Giants,Gujarat Titans,2
21,Naveen-ul-Haq   4 0 37 1 1 1 9.20,Lucknow Super Giants,Gujarat Titans,2
21,Mayank Yadav   1 0 13 0 0 0 13.00,Lucknow Super Giants,Gujarat Titans,2
21,Yash Thakur   3.5 1 30 5 0 2 7.80,Lucknow Super Giants,Gujarat Titans,2
21,Krunal Pandya   4 0 11 3 0 0 2.80,Lucknow Super Giants,Gujarat Titans,2
21,Ravi Bishnoi   2 0 8 1 0 1 4.00,Lucknow Super Giants,Gujarat Titans,2
22,Mitchell Starc   3 0 29 0 0 2 9.70,Kolkata Knight Riders,Chennai Super Kings,2
22,Vaibhav Arora   4 0 28 2 0 0 7.00,Kolkata Knight Riders,Chennai Super Kings,2
22,Anukul Roy   1.4 0 18 0 0 0 10.80,Kolkata Knight Riders,Chennai Super Kings,2
22,Sunil Narine   4 0 30 1 0 0 7.50,Kolkata Knight Riders,Chennai Super Kings,2
22,Varun Chakaravarthy   4 0 26 0 0 0 6.50,Kolkata Knight Riders,Chennai Super Kings,2
22,Andre Russell   1 0 8 0 0 1 8.00,Kolkata Knight Riders,Chennai Super Kings,2
23,Bhuvneshwar Kumar   4 1 32 2 0 2 8.00,Sunrisers Hyderabad,Punjab Kings,2
23,Pat Cummins (c)   4 0 22 1 0 0 5.50,Sunrisers Hyderabad,Punjab Kings,2
23,T Natarajan   4 0 33 1 0 0 8.20,Sunrisers Hyderabad,Punjab Kings,2
23,Nitish Reddy   3 0 33 1 0 1 11.00,Sunrisers Hyderabad,Punjab Kings,2
23,Jaydev Unadkat   4 0 49 1 0 3 12.20,Sunrisers Hyderabad,Punjab Kings,2
23,Shahbaz Ahmed   1 0 10 0 0 0 10.00,Sunrisers Hyderabad,Punjab Kings,2
24,Trent Boult   2 0 8 0 0 0 4.00,Rajasthan Royals,Gujarat Titans,2
24,Avesh Khan   4 0 48 1 0 2 12.00,Rajasthan Royals,Gujarat Titans,2
24,Keshav Maharaj   2 0 16 0 0 0 8.00,Rajasthan Royals,Gujarat Titans,2
24,Ravichandran Ashwin   4 0 40 0 0 0 10.00,Rajasthan Royals,Gujarat Titans,2
24,Yuzvendra Chahal   4 0 43 2 0 1 10.80,Rajasthan Royals,Gujarat Titans,2
24,Kuldeep Sen   4 0 41 3 1 4 10.20,Rajasthan Royals,Gujarat Titans,2
25,Reece Topley   3 0 34 0 0 1 11.30,Royal Challengers Bengaluru,Mumbai,2
25,Mohammed Siraj   3 0 37 0 0 0 12.30,Royal Challengers Bengaluru,Mumbai,2
25,Akash Deep   3.3 0 55 1 0 2 15.70,Royal Challengers Bengaluru,Mumbai,2
25,Glenn Maxwell   1 0 17 0 0 0 17.00,Royal Challengers Bengaluru,Mumbai,2
25,Vijaykumar Vyshak   3 0 32 1 0 0 10.70,Royal Challengers Bengaluru,Mumbai,2
25,Will Jacks   2 0 24 1 0 0 12.00,Royal Challengers Bengaluru,Mumbai,2
26,Arshad Khan   3.1 0 34 0 0 0 10.70,Lucknow Super Giants,Delhi Capitals,2
26,Naveen-ul-Haq   3 0 24 1 0 0 8.00,Lucknow Super Giants,Delhi Capitals,2
26,Yash Thakur   4 0 31 1 0 0 7.80,Lucknow Super Giants,Delhi Capitals,2
26,Krunal Pandya   3 0 45 0 0 7 15.00,Lucknow Super Giants,Delhi Capitals,2
26,Ravi Bishnoi   4 0 25 2 0 0 6.20,Lucknow Super Giants,Delhi Capitals,2
26,Marcus Stoinis   1 0 10 0 0 0 10.00,Lucknow Super Giants,Delhi Capitals,2
27,Arshdeep Singh   3.5 0 45 1 0 1 11.70,Punjab Kings,Rajasthan Royals,2
27,Kagiso Rabada   4 0 18 2 0 0 4.50,Punjab Kings,Rajasthan Royals,2
27,Sam Curran (c)   4 0 25 2 0 1 6.20,Punjab Kings,Rajasthan Royals,2
27,Liam Livingstone   3 0 21 1 0 1 7.00,Punjab Kings,Rajasthan Royals,2
27,Harshal Patel   2 0 21 1 0 0 10.50,Punjab Kings,Rajasthan Royals,2
27,Harpreet Brar   3 0 22 0 0 0 7.30,Punjab Kings,Rajasthan Royals,2
28,Shamar Joseph   4 0 47 0 3 7 11.80,Lucknow Super Giants,Kolkata Knight Riders,2
28,Mohsin Khan   4 0 29 2 0 1 7.20,Lucknow Super Giants,Kolkata Knight Riders,2
28,Krunal Pandya   1 0 14 0 0 0 14.00,Lucknow Super Giants,Kolkata Knight Riders,2
28,Yash Thakur   2 0 25 0 0 1 12.50,Lucknow Super Giants,Kolkata Knight Riders,2
28,Arshad Khan   2 0 24 0 0 2 12.00,Lucknow Super Giants,Kolkata Knight Riders,2
28,Ravi Bishnoi   2.4 0 17 0 0 2 6.40,Lucknow Super Giants,Kolkata Knight Riders,2
29,Tushar Deshpande   4 0 29 1 0 0 7.20,Chennai Super Kings,Mumbai,2
29,Mustafizur Rahman   4 0 55 1 0 3 13.80,Chennai Super Kings,Mumbai,2
29,Shardul Thakur   4 0 35 0 0 0 8.80,Chennai Super Kings,Mumbai,2
29,Ravindra Jadeja   4 0 37 0 0 0 9.20,Chennai Super Kings,Mumbai,2
29,Matheesha Pathirana   4 0 28 4 0 2 7.00,Chennai Super Kings,Mumbai,2
30,Abhishek Sharma   1 0 10 0 0 0 10.00,Sunrisers Hyderabad,Royal Challengers Bengaluru,2
30,Bhuvneshwar Kumar   4 0 60 0 0 4 15.00,Sunrisers Hyderabad,Royal Challengers Bengaluru,2
30,Shahbaz Ahmed   1 0 18 0 0 0 18.00,Sunrisers Hyderabad,Royal Challengers Bengaluru,2
30,T Natarajan   4 0 47 1 0 4 11.80,Sunrisers Hyderabad,Royal Challengers Bengaluru,2
30,Pat Cummins (c)   4 0 43 3 0 1 10.80,Sunrisers Hyderabad,Royal Challengers Bengaluru,2
30,Mayank Markande   4 0 46 2 0 3 11.50,Sunrisers Hyderabad,Royal Challengers Bengaluru,2
30,Jaydev Unadkat   2 0 37 0 0 1 18.50,Sunrisers Hyderabad,Royal Challengers Bengaluru,2
31,Mitchell Starc   4 0 50 0 0 9 12.50,Kolkata Knight Riders,Rajasthan Royals,2
31,Vaibhav Arora   3 0 45 1 1 0 15.00,Kolkata Knight Riders,Rajasthan Royals,2
